City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Shenjiamen,CN,29.9576,122.298,82.13,78,94,9.8,overcast clouds
1,Dikson,RU,73.5069,80.5464,41.95,97,67,8.21,broken clouds
2,Rio Gallegos,AR,-51.6226,-69.2181,37.45,65,75,10.36,broken clouds
3,Kuryk,KZ,43.2,51.65,89.28,30,87,12.12,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,74.64,78,16,11.61,few clouds
5,Shaunavon,CA,49.6501,-108.4181,55.18,62,100,7.49,overcast clouds
6,Alofi,NU,-19.0595,-169.9187,78.69,89,98,8.05,light rain
7,Puerto Carreno,CO,6.189,-67.4859,77.86,80,100,4.16,overcast clouds
8,Harper,LR,4.375,-7.7169,75.49,86,99,10.56,light rain
9,Carnarvon,AU,-24.8667,113.6333,71.67,62,23,11.5,few clouds
10,Touros,BR,-5.1989,-35.4608,76.1,88,38,12.26,scattered clouds
11,Cape Town,ZA,-33.9258,18.4232,54.01,86,20,4.0,light rain
12,Bloomfield,US,40.8068,-74.1854,70.65,90,90,1.01,mist
13,Yellowknife,CA,62.456,-114.3525,52.32,62,75,4.61,broken clouds
14,New Norfolk,AU,-42.7826,147.0587,58.91,70,86,3.0,light rain
15,Poum,NC,-20.2333,164.0167,71.22,57,6,14.72,clear sky
16,Katobu,ID,-4.9408,122.5276,85.03,60,50,5.86,scattered clouds
17,Castro,BR,-24.7911,-50.0119,53.69,78,6,3.65,clear sky
18,Upernavik,GL,72.7868,-56.1549,41.7,87,92,9.46,overcast clouds
19,Souillac,MU,-20.5167,57.5167,68.38,94,20,5.75,light rain
20,Butaritari,KI,3.0707,172.7902,83.75,59,14,9.44,few clouds
21,Husavik,IS,66.0449,-17.3389,48.11,79,100,1.77,overcast clouds
22,Torbay,CA,47.6666,-52.7314,55.58,87,75,12.66,broken clouds
23,Bethel,US,41.3712,-73.414,71.71,88,90,1.01,overcast clouds
24,Cidreira,BR,-30.1811,-50.2056,59.88,92,0,10.07,clear sky
25,Sao Filipe,CV,14.8961,-24.4956,78.39,85,41,1.61,scattered clouds
26,Tura,IN,25.5198,90.2201,78.93,94,97,6.17,overcast clouds
27,Port Alfred,ZA,-33.5906,26.891,57.87,83,41,14.5,scattered clouds
28,Nuevo Laredo,MX,27.4763,-99.5164,89.58,62,1,20.71,clear sky
29,Gudari,IN,19.35,83.7833,84.96,77,99,1.19,overcast clouds
30,Carballo,ES,43.213,-8.691,59.86,95,90,1.97,overcast clouds
31,Hilo,US,19.7297,-155.09,80.33,69,90,9.22,overcast clouds
32,Codrington,AU,-38.2667,141.9667,58.37,63,63,15.39,broken clouds
33,Kapaa,US,22.0752,-159.319,84.52,65,40,4.0,scattered clouds
34,Cayenne,GF,4.9333,-52.3333,80.1,83,0,3.0,clear sky
35,Jamestown,US,42.097,-79.2353,72.84,89,1,1.01,clear sky
36,Pisco,PE,-13.7,-76.2167,59.02,88,0,4.61,clear sky
37,Lata,PT,40.1629,-8.3327,59.81,98,54,2.13,broken clouds
38,Sovetskoye,RU,52.2861,85.4131,75.42,50,100,3.74,overcast clouds
39,Angoche,MZ,-16.2325,39.9086,67.21,79,0,7.16,clear sky
40,Beyneu,KZ,45.3167,55.2,85.64,21,0,11.74,clear sky
41,Bontang,ID,0.1333,117.5,82.81,72,77,5.53,moderate rain
42,Slave Lake,CA,55.2834,-114.769,60.78,72,1,3.44,clear sky
43,Tornio,FI,65.8481,24.1466,59.02,95,100,13.6,moderate rain
44,Riyadh,SA,24.6877,46.7219,89.65,23,0,3.44,clear sky
45,Barrow,US,71.2906,-156.7887,39.22,87,90,9.22,overcast clouds
46,Hermanus,ZA,-34.4187,19.2345,52.9,70,100,19.22,light rain
47,Bredasdorp,ZA,-34.5322,20.0403,51.12,87,100,10.36,light rain
48,Pevek,RU,69.7008,170.3133,37.58,83,62,11.25,broken clouds
49,Broken Hill,AU,-31.95,141.4333,58.71,36,0,8.05,clear sky
50,Tondano,ID,1.3038,124.9112,84.29,63,61,3.98,broken clouds
51,Nikolskoye,RU,59.7035,30.7861,63.01,93,68,6.33,broken clouds
52,Banda Aceh,ID,5.5577,95.3222,84.22,70,99,9.35,overcast clouds
53,Ushuaia,AR,-54.8,-68.3,42.46,61,75,10.36,broken clouds
54,Hobart,AU,-42.8794,147.3294,59.25,58,75,4.0,broken clouds
55,San Quintin,MX,30.4833,-115.95,68.0,80,5,7.14,clear sky
56,Lagoa,PT,39.05,-27.9833,71.31,83,23,18.21,few clouds
57,Ostrovnoy,RU,68.0531,39.5131,52.88,76,0,7.31,clear sky
58,Araouane,ML,18.9048,-3.5265,93.34,29,82,14.03,broken clouds
59,Trincomalee,LK,8.5711,81.2335,83.66,69,100,19.35,overcast clouds
60,Mataura,NZ,-46.1927,168.8643,43.48,98,100,6.29,overcast clouds
61,Puerto Ayora,EC,-0.7393,-90.3518,69.55,90,32,5.01,scattered clouds
62,Chapais,CA,49.7834,-74.8492,60.58,64,100,7.4,overcast clouds
63,East London,ZA,-33.0153,27.9116,60.96,77,41,12.57,scattered clouds
64,Airai,TL,-8.9266,125.4092,73.65,46,12,3.49,few clouds
65,Vaini,TO,-21.2,-175.2,77.16,69,20,10.36,few clouds
66,Rajpipla,IN,21.8667,73.5,84.13,83,100,9.44,overcast clouds
67,Nyurba,RU,63.2842,118.3319,77.47,58,83,4.38,broken clouds
68,Bubaque,GW,11.2833,-15.8333,77.88,85,100,10.02,moderate rain
