City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Shenjiamen,CN,82.13,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
3,Kuryk,KZ,89.28,overcast clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
4,Rikitea,PF,74.64,few clouds,-23.1203,-134.9692,People ThankYou
6,Alofi,NU,78.69,light rain,-19.0595,-169.9187,Taloa Heights
7,Puerto Carreno,CO,77.86,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
8,Harper,LR,75.49,light rain,4.375,-7.7169,Screensaver
9,Carnarvon,AU,71.67,few clouds,-24.8667,113.6333,Hospitality Carnarvon
10,Touros,BR,76.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
12,Bloomfield,US,70.65,mist,40.8068,-74.1854,La Quinta Inn & Suites by Wyndham Clifton/Rutherford
15,Poum,NC,71.22,clear sky,-20.2333,164.0167,Gîte kajeon
16,Katobu,ID,85.03,scattered clouds,-4.9408,122.5276,La Ode Husein
20,Butaritari,KI,83.75,few clouds,3.0707,172.7902,Isles Sunset Lodge
23,Bethel,US,71.71,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
25,Sao Filipe,CV,78.39,scattered clouds,14.8961,-24.4956,Hotel Xaguate
26,Tura,IN,78.93,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
28,Nuevo Laredo,MX,89.58,clear sky,27.4763,-99.5164,City Express Nuevo Laredo
29,Gudari,IN,84.96,overcast clouds,19.35,83.7833,Hotel maa majhigouri
31,Hilo,US,80.33,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
33,Kapaa,US,84.52,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
34,Cayenne,GF,80.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
35,Jamestown,US,72.84,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
38,Sovetskoye,RU,75.42,overcast clouds,52.2861,85.4131,"Gostinitsa ""Berozka"""
40,Beyneu,KZ,85.64,clear sky,45.3167,55.2,NUR
41,Bontang,ID,82.81,moderate rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
44,Riyadh,SA,89.65,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
50,Tondano,ID,84.29,broken clouds,1.3038,124.9112,Villa Bella
52,Banda Aceh,ID,84.22,overcast clouds,5.5577,95.3222,Sulthan Hotel International
56,Lagoa,PT,71.31,few clouds,39.05,-27.9833,Casa Das Faias
58,Araouane,ML,93.34,broken clouds,18.9048,-3.5265,
59,Trincomalee,LK,83.66,overcast clouds,8.5711,81.2335,Welcombe Hotel
61,Puerto Ayora,EC,69.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
64,Airai,TL,73.65,few clouds,-8.9266,125.4092,Juvinal Martin
65,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
66,Rajpipla,IN,84.13,overcast clouds,21.8667,73.5,Lal Tower Govt. Guest House
67,Nyurba,RU,77.47,broken clouds,63.2842,118.3319,Gostinitsa Alrosa
68,Bubaque,GW,77.88,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
71,Nanzhang,CN,73.94,moderate rain,31.7765,111.8386,Longmenkezhan
72,Bulungu,CD,69.78,scattered clouds,-4.55,18.6,
73,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
74,Cabo San Lucas,MX,87.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
76,Guerrero Negro,MX,70.84,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
77,Farmington,US,83.08,clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
81,Albany,US,71.15,clear sky,42.6001,-73.9662,
83,Deputatskiy,RU,74.91,few clouds,69.3,139.9,Baza Otdykha
86,Ponta Do Sol,PT,70.0,few clouds,32.6667,-17.1,Hotel do Campo
88,Marawi,PH,72.03,heavy intensity rain,7.9986,124.2928,Derogongan Residence
89,Karaton,ID,87.96,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
93,Barcelona,ES,72.72,clear sky,41.3888,2.159,Axel Hotel Barcelona
94,Mangan,IN,82.49,overcast clouds,27.5167,88.5333,Hotel Mout View
96,Ukiah,US,87.69,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
100,Victoria,HK,87.85,overcast clouds,22.2855,114.1577,Mini Hotel Central
102,Sur,OM,88.41,clear sky,22.5667,59.5289,Sur Plaza Hotel
106,Bentiu,SS,70.95,overcast clouds,9.2333,29.8333,Mandela hôtel
110,Boulder,US,77.0,clear sky,40.0833,-105.3505,Deck House Boulder
111,Atuona,PF,78.04,few clouds,-9.8,-139.0333,Villa Enata
112,Pampa,US,85.15,clear sky,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
113,Luwuk,ID,83.79,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
114,Mogadishu,SO,75.87,light rain,2.0371,45.3438,Hotel Juba
115,Kalat,PK,74.84,clear sky,29.0225,66.5916,PHE Rest House
116,Bayji,IQ,89.06,clear sky,34.9311,43.487,مروان /عدنان
117,Kerema,PG,81.45,broken clouds,-7.9631,145.7785,Frena Lodge
118,Le Vauclin,MQ,80.85,few clouds,14.5452,-60.8388,Hôtel Cap Macabou
120,Mitsamiouli,KM,75.92,clear sky,-11.3847,43.2844,Foyer ADM
121,Hithadhoo,MV,81.61,overcast clouds,-0.6,73.0833,Scoop Guest House
124,Takayama,JP,88.47,overcast clouds,36.1333,137.25,Country Hotel Takayama
125,Laguna,US,89.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
128,Los Banos,PH,86.81,overcast clouds,14.1667,121.1833,Sol Y Viento Mountain Hot Springs and Resort
131,Brewster,US,71.82,overcast clouds,41.3973,-73.6171,Heidi's Inn
132,Moerai,PF,72.9,clear sky,-22.4333,-151.3333,Le Manotel
135,San Patricio,US,86.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
138,Itarema,BR,79.16,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
141,Ribeira Grande,PT,72.43,broken clouds,38.5167,-28.7,Quinta da Meia Eira
142,Meulaboh,ID,82.26,broken clouds,4.1363,96.1285,Kost Pria
143,Novo Aripuana,BR,81.9,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
144,Sulangan,PH,81.75,light rain,11.1373,123.7228,Maia's Beach Resort
145,Cururupu,BR,74.62,clear sky,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
147,Cine,TR,79.7,clear sky,37.6117,28.0614,Otel Alabanda
152,Bilma,NE,88.92,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
154,Seoul,KR,91.0,clear sky,37.5683,126.9778,롯데호텔 서울
155,Ucluelet,CA,69.1,clear sky,48.9329,-125.5528,Black Rock Oceanfront Resort
159,Jaciara,BR,71.04,broken clouds,-15.9653,-54.9683,Taba Hotel
160,Cabra,ES,70.9,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
161,Mount Clemens,US,81.14,scattered clouds,42.5973,-82.878,"Holiday Inn Express & Suites Chesterfield - Selfridge Area, an IHG Hotel"
162,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
163,Erzin,TR,77.72,clear sky,36.9559,36.2,Artemis Otel
164,Sola,VU,76.24,overcast clouds,-13.8833,167.55,Leumerus Bungalows
166,Srandakan,ID,83.59,few clouds,-7.9386,110.2506,Puri Brata
169,Iwanai,JP,75.4,light rain,42.9744,140.5089,いわない高原ホテル
172,Sao Felix Do Xingu,BR,74.68,few clouds,-6.6447,-51.995,Rio Xingu Camping
176,Jalu,LY,80.87,clear sky,29.0331,21.5482,صاحبة الفخامة
177,Sairang,IN,81.63,overcast clouds,23.8,92.6667,Aboiha Cottage
178,Torrijos,ES,72.55,clear sky,39.9819,-4.2835,Hotel La Salve
179,Coahuayana,MX,81.88,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
180,Balabac,PH,85.98,moderate rain,7.9868,117.0645,Sing and Swing Lodge
182,Sao Jose Da Coroa Grande,BR,73.26,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
183,Pasni,PK,79.86,overcast clouds,25.2631,63.471,Kashmiri Hotal
185,Yenagoa,NG,72.99,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
187,Mahibadhoo,MV,83.55,overcast clouds,3.7833,72.9667,Omadhoo Inn
188,San Policarpo,PH,84.83,heavy intensity rain,12.1791,125.5072,JM Lodge
189,Mahebourg,MU,69.26,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
