City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2021-08-08 23:37:10,-46.1927,168.8643,39.47,97,91,5.5
1,Bonavista,CA,2021-08-08 23:37:11,48.6499,-53.1147,56.12,76,76,16.4
2,Mahebourg,MU,2021-08-08 23:37:11,-20.4081,57.7,68.29,94,75,3.44
3,Yar-Sale,RU,2021-08-08 23:37:11,66.8333,70.8333,52.18,64,100,15.39
4,Quatre Cocos,MU,2021-08-08 23:37:12,-20.2078,57.7625,68.11,92,93,18.66
5,Nishihara,JP,2021-08-08 23:37:12,26.1842,127.7558,80.26,94,75,10.36
6,San Patricio,US,2021-08-08 23:37:12,28.017,-97.5169,92.12,61,31,18.16
7,Georgetown,MY,2021-08-08 23:37:13,5.4112,100.3354,80.89,88,20,4.61
8,Atuona,PF,2021-08-08 23:37:13,-9.8,-139.0333,77.68,79,23,21.27
9,Ust-Nera,RU,2021-08-08 23:37:13,64.5667,143.2,72.34,40,7,4.07
10,Vaini,TO,2021-08-08 23:37:14,-21.2,-175.2,73.56,73,75,4.61
11,Biu,NG,2021-08-08 23:37:14,10.6129,12.1946,68.61,89,87,4.83
12,Qaanaaq,GL,2021-08-08 23:37:14,77.484,-69.3632,39.51,72,18,4.21
13,Havoysund,NO,2021-08-08 23:37:14,70.9963,24.6622,65.28,71,53,11.25
14,Ponta Do Sol,PT,2021-08-08 23:37:15,32.6667,-17.1,70.43,73,29,3.49
15,Albany,US,2021-08-08 23:35:23,42.6001,-73.9662,80.47,73,22,5.41
16,Husavik,IS,2021-08-08 23:37:15,66.0449,-17.3389,49.91,85,47,0.56
17,Kahului,US,2021-08-08 23:37:01,20.8947,-156.47,86.02,56,20,25.32
18,Pacific Grove,US,2021-08-08 23:32:59,36.6177,-121.9166,89.02,81,1,4.0
19,Jalu,LY,2021-08-08 23:37:16,29.0331,21.5482,84.09,40,0,9.28
20,Majene,ID,2021-08-08 23:37:16,-3.5403,118.9707,78.17,85,47,6.62
21,Kaitangata,NZ,2021-08-08 23:37:17,-46.2817,169.8464,43.09,75,90,10.42
22,Rikitea,PF,2021-08-08 23:37:17,-23.1203,-134.9692,74.43,76,1,11.83
23,Abdanan,IR,2021-08-08 23:37:17,32.9926,47.4198,83.55,20,0,7.54
24,Tasiilaq,GL,2021-08-08 23:37:18,65.6145,-37.6368,46.56,94,100,21.12
25,The Valley,AI,2021-08-08 23:37:18,18.217,-63.0578,84.06,78,20,14.97
26,Tura,IN,2021-08-08 23:34:14,25.5198,90.2201,75.0,98,97,5.73
27,Acapulco,MX,2021-08-08 23:34:53,16.8634,-99.8901,85.82,70,40,5.75
28,Anori,BR,2021-08-08 23:37:19,-3.7728,-61.6442,82.13,58,90,2.98
29,Busselton,AU,2021-08-08 23:33:18,-33.65,115.3333,53.1,62,100,20.85
30,East London,ZA,2021-08-08 23:37:19,-33.0153,27.9116,62.91,75,32,15.79
31,Kruisfontein,ZA,2021-08-08 23:37:20,-34.0033,24.7314,49.89,86,100,7.45
32,Te Anau,NZ,2021-08-08 23:34:04,-45.4167,167.7167,38.3,85,70,2.84
33,Okha,RU,2021-08-08 23:37:20,53.5739,142.9478,60.49,57,8,2.64
34,Raga,SS,2021-08-08 23:37:20,8.4596,25.678,68.31,96,100,3.2
35,Ribeira Grande,PT,2021-08-08 23:37:21,38.5167,-28.7,72.86,87,53,16.15
36,Caluquembe,AO,2021-08-08 23:37:21,-13.7833,14.6833,55.49,46,41,1.28
37,Lompoc,US,2021-08-08 23:32:49,34.6391,-120.4579,81.21,75,1,14.97
38,Conselheiro Lafaiete,BR,2021-08-08 23:37:22,-20.6603,-43.7861,60.37,76,100,4.43
39,Viedma,AR,2021-08-08 23:37:22,-40.8135,-62.9967,42.24,66,78,5.59
40,Yellowknife,CA,2021-08-08 23:32:33,62.456,-114.3525,55.92,47,75,6.91
41,Grand-Santi,GF,2021-08-08 23:37:22,4.25,-54.3833,78.84,77,97,1.83
42,Ushuaia,AR,2021-08-08 23:37:23,-54.8,-68.3,40.66,70,40,3.44
43,Pergamino,AR,2021-08-08 23:37:23,-33.89,-60.5736,45.52,92,100,16.2
44,Hilo,US,2021-08-08 23:33:17,19.7297,-155.09,82.13,57,90,10.36
